Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,Category,URL,Code,Slides,Video,Notes
"Dai, Xiaotian; Burns, Alan; ",Predicting worst-case execution time trends in long-lived real-time systems,"Reliable Software Technologies–Ada-Europe 2017: 22nd Ada-Europe International Conference on Reliable Software Technologies, Vienna, Austria, June 12-16, 2017, Proceedings 22",,,87-101,2017,Springer International Publishing,conference,https://link.springer.com/chapter/10.1007%2F978-3-319-60588-3_6,https://github.com/automaticdai/research-wcet-trend-analysis,,,
"Wei, Ran; Kelly, Tim P; Dai, Xiaotian; Zhao, Shuai; Hawkins, Richard; ",Model based system assurance using the structured assurance case metamodel,Journal of Systems and Software,154,,211-233,2019,Elsevier,journal,https://www.sciencedirect.com/science/article/pii/S0164121219301062?via%3Dihub,,,,
"Dai, Xiaotian; ",Flexible and Adaptive Real-Time Task Scheduling in Cyber-Physical Control Systems,,,,,2019,University of York,thesis,http://etheses.whiterose.ac.uk/23950/,,,,"Best Thesis Award, University of York"
"Dai, Xiaotian; Chang, Wanli; Zhao, Shuai; Burns, Alan; ",A dual-mode strategy for performance-maximisation and resource-efficient CPS design,ACM Transactions on Embedded Computing Systems (TECS),18,5s,1月20日,2019,"ACM New York, NY, USA",journal,https://dl.acm.org/citation.cfm?id=3358213,https://github.com/automaticdai/research-dual-period,../files/emsoft19_dual_period_v3_rev1.pdf,,
"Dai, Xiaotian; Burns, Alan; ",Period adaptation of real-time control tasks with fixed-priority scheduling in cyber-physical systems,Journal of Systems Architecture (JSA),103,,101691,2020,North-Holland,journal,https://doi.org/10.1016/j.sysarc.2019.101691,https://github.com/automaticdai/research-period-adaptation,,,
"Zhao, Shuai; Jiang, Zhe; Dai, Xiaotian; Bate, Iain; Habli, Ibrahim; Chang, Wanli; ",Timing-accurate general-purpose I/O for multi-and many-core systems: Scheduling and hardware support,2020 57th ACM/IEEE Design Automation Conference (DAC),,,1月6日,2020,IEEE,conference,http://eprints.whiterose.ac.uk/158882/1/PID6411059.pdf,,,,
"Yang, Dawei; Li, Xinlei; Dai, Xiaotian; Zhang, Rui; Qi, Lizhe; Zhang, Wenqiang; Jiang, Zhe; ",All in one network for driver attention monitoring,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,,2258-2262,2020,IEEE,conference,http://eprints.whiterose.ac.uk/158675/,,,,
"Jiang, Zhe; Audsley, Neil; Dong, Pan; Guan, Nan; Dai, Xiaotian; Wei, Lifeng; ",MCS-IOV: Real-time I/O virtualization for mixed-criticality systems,IEEE Real-Time Systems Symposium (RTSS),,,326-338,2019,IEEE,conference,https://ieeexplore.ieee.org/abstract/document/9052193,,,,
"Dai, Xiaotian; Zhao, Shuai; Jiang, Yu; Jiao, Xun; Hu, Xiaobo Sharon; Chang, Wanli; ",Fixed-priority scheduling and controller co-design for time-sensitive networks,Proceedings of the 39th International Conference on Computer-Aided Design,,,1月9日,2020,,conference,http://eprints.whiterose.ac.uk/164756/1/ICCAD_2020_TSN_FPS.pdf,https://github.com/automaticdai/research-sched-tsn,,https://www.youtube.com/watch?v=fPSlHvK1NGc,Best Paper Nomination
"Tafrishi, Seyed Amir; Dai, Xiaotian; Kandjani, Vahid Esmaeilzadeh; ",Line-Circle-Square (LCS): A multilayered geometric filter for edge-based detection,Robotics and Autonomous Systems,,,103732,2021,Elsevier,journal,https://arxiv.org/pdf/2008.09315.pdf,https://github.com/SeyedAmirTafrishi/LCS_Filter,,https://www.youtube.com/watch?v=hh6B4aF7jDI,
